Date,Day_of_Week,Month,Week_of_the_year,Day_of_month,Is_Weekend,Special_Event,Number_Attended
2019-07-13,Saturday,7,28,13,true,true,37
2019-07-14,Sunday,7,29,14,true,false,3
2019-07-15,Monday,7,29,15,false,true,428
2019-07-16,Tuesday,7,29,16,false,true,1577
2019-07-17,Wednesday,7,29,17,false,true,673
2019-07-18,Thursday,7,29,18,false,true,1351
2019-07-19,Friday,7,29,19,false,true,593
2019-07-20,Saturday,7,29,20,true,false,17
2019-07-21,Sunday,7,30,21,true,false,3
2019-07-22,Monday,7,30,22,false,false,359
2019-07-23,Tuesday,7,30,23,false,false,1174
2019-07-24,Wednesday,7,30,24,false,true,505
2019-07-25,Thursday,7,30,25,false,true,1349
2019-07-26,Friday,7,30,26,false,false,368
2019-07-27,Saturday,7,30,27,true,false,25
2019-07-28,Sunday,7,31,28,true,false,5
2019-07-29,Monday,7,31,29,false,false,520
2019-07-30,Tuesday,7,31,30,false,true,1481
2019-07-31,Wednesday,7,31,31,false,true,424
2019-08-01,Thursday,8,31,1,false,true,1067
2019-08-02,Friday,8,31,2,false,true,593
2019-08-03,Saturday,8,31,3,true,false,46
2019-08-04,Sunday,8,32,4,true,false,4
2019-08-05,Monday,8,32,5,false,false,624
2019-08-06,Tuesday,8,32,6,false,true,1106
2019-08-07,Wednesday,8,32,7,false,true,614
2019-08-08,Thursday,8,32,8,false,true,1608
2019-08-09,Friday,8,32,9,false,false,477
2019-08-10,Saturday,8,32,10,true,false,39
2019-08-11,Sunday,8,33,11,true,true,3
2019-08-12,Monday,8,33,12,false,false,413
2019-08-13,Tuesday,8,33,13,false,false,1103
2019-08-14,Wednesday,8,33,14,false,false,586
2019-08-15,Thursday,8,33,15,false,true,842
2019-08-16,Friday,8,33,16,false,false,371
2019-08-17,Saturday,8,33,17,true,false,25
2019-08-18,Sunday,8,34,18,true,false,4
2019-08-19,Monday,8,34,19,false,false,333
2019-08-20,Tuesday,8,34,20,false,true,1631
2019-08-21,Wednesday,8,34,21,false,false,626
2019-08-22,Thursday,8,34,22,false,false,1314
2019-08-23,Friday,8,34,23,false,true,548
2019-08-24,Saturday,8,34,24,true,false,0
2019-08-25,Sunday,8,35,25,true,false,3
2019-08-26,Monday,8,35,26,false,true,338
2019-08-27,Tuesday,8,35,27,false,true,824
2019-08-28,Wednesday,8,35,28,false,true,336
2019-08-29,Thursday,8,35,29,false,true,1604
2019-08-30,Friday,8,35,30,false,false,649
2019-08-31,Saturday,8,35,31,true,true,16
2019-09-01,Sunday,9,36,1,true,true,5
2019-09-02,Monday,9,36,2,false,true,538
2019-09-03,Tuesday,9,36,3,false,false,1151
2019-09-04,Wednesday,9,36,4,false,false,316
2019-09-05,Thursday,9,36,5,false,true,814
2019-09-06,Friday,9,36,6,false,true,350
2019-09-07,Saturday,9,36,7,true,false,31
2019-09-08,Sunday,9,37,8,true,false,4
2019-09-09,Monday,9,37,9,false,true,489
2019-09-10,Tuesday,9,37,10,false,true,1164
2019-09-11,Wednesday,9,37,11,false,true,546
2019-09-12,Thursday,9,37,12,false,true,1343
2019-09-13,Friday,9,37,13,false,false,650
2019-09-14,Saturday,9,37,14,true,false,16
2019-09-15,Sunday,9,38,15,true,false,5
2019-09-16,Monday,9,38,16,false,false,278
2019-09-17,Tuesday,9,38,17,false,false,1059
2019-09-18,Wednesday,9,38,18,false,true,474
2019-09-19,Thursday,9,38,19,false,true,1533
2019-09-20,Friday,9,38,20,false,false,434
2019-09-21,Saturday,9,38,21,true,false,45
2019-09-22,Sunday,9,39,22,true,false,5
2019-09-23,Monday,9,39,23,false,true,401
2019-09-24,Tuesday,9,39,24,false,false,993
2019-09-25,Wednesday,9,39,25,false,true,600
2019-09-26,Thursday,9,39,26,false,false,1314
2019-09-27,Friday,9,39,27,false,false,519
2019-09-28,Saturday,9,39,28,true,true,21
2019-09-29,Sunday,9,40,29,true,false,4
2019-09-30,Monday,9,40,30,false,true,412
2019-10-01,Tuesday,10,40,1,false,false,1221
2019-10-02,Wednesday,10,40,2,false,true,647
2019-10-03,Thursday,10,40,3,false,true,1476
2019-10-04,Friday,10,40,4,false,true,426
2019-10-05,Saturday,10,40,5,true,false,50
2019-10-06,Sunday,10,41,6,true,true,4
2019-10-07,Monday,10,41,7,false,true,611
2019-10-08,Tuesday,10,41,8,false,false,1701
2019-10-09,Wednesday,10,41,9,false,true,594
2019-10-10,Thursday,10,41,10,false,false,1621
2019-10-11,Friday,10,41,11,false,false,475
2019-10-12,Saturday,10,41,12,true,false,14
2019-10-13,Sunday,10,42,13,true,true,3
2019-10-14,Monday,10,42,14,false,true,585
2019-10-15,Tuesday,10,42,15,false,true,1365
2019-10-16,Wednesday,10,42,16,false,true,641
2019-10-17,Thursday,10,42,17,false,true,812
2019-10-18,Friday,10,42,18,false,false,488
2019-10-19,Saturday,10,42,19,true,false,26
2019-10-20,Sunday,10,43,20,true,false,3
2019-10-21,Monday,10,43,21,false,true,692
2019-10-22,Tuesday,10,43,22,false,true,1204
2019-10-23,Wednesday,10,43,23,false,false,430
2019-10-24,Thursday,10,43,24,false,true,1646
2019-10-25,Friday,10,43,25,false,true,663
2019-10-26,Saturday,10,43,26,true,false,1
2019-10-27,Sunday,10,44,27,true,false,5
2019-10-28,Monday,10,44,28,false,true,649
2019-10-29,Tuesday,10,44,29,false,true,1732
2019-10-30,Wednesday,10,44,30,false,false,280
2019-10-31,Thursday,10,44,31,false,false,1228
2019-11-01,Friday,11,44,1,false,false,552
2019-11-02,Saturday,11,44,2,true,false,1
2019-11-03,Sunday,11,45,3,true,false,4
2019-11-04,Monday,11,45,4,false,false,599
2019-11-05,Tuesday,11,45,5,false,false,867
2019-11-06,Wednesday,11,45,6,false,false,360
2019-11-07,Thursday,11,45,7,false,true,1561
2019-11-08,Friday,11,45,8,false,true,499
2019-11-09,Saturday,11,45,9,true,false,9
2019-11-10,Sunday,11,46,10,true,true,5
2019-11-11,Monday,11,46,11,false,false,470
2019-11-12,Tuesday,11,46,12,false,true,972
2019-11-13,Wednesday,11,46,13,false,false,587
2019-11-14,Thursday,11,46,14,false,true,1545
2019-11-15,Friday,11,46,15,false,false,465
2019-11-16,Saturday,11,46,16,true,true,3
2019-11-17,Sunday,11,47,17,true,false,3
2019-11-18,Monday,11,47,18,false,true,262
2019-11-19,Tuesday,11,47,19,false,false,1013
2019-11-20,Wednesday,11,47,20,false,true,327
2019-11-21,Thursday,11,47,21,false,true,895
2019-11-22,Friday,11,47,22,false,true,684
2019-11-23,Saturday,11,47,23,true,false,4
2019-11-24,Sunday,11,48,24,true,false,4
2019-11-25,Monday,11,48,25,false,true,342
2019-11-26,Tuesday,11,48,26,false,true,1288
2019-11-27,Wednesday,11,48,27,false,true,485
2019-11-28,Thursday,11,48,28,false,true,1081
2019-11-29,Friday,11,48,29,false,true,543
2019-11-30,Saturday,11,48,30,true,true,21
2019-12-01,Sunday,12,49,1,true,false,4
2019-12-02,Monday,12,49,2,false,true,538
2019-12-03,Tuesday,12,49,3,false,true,1685
2019-12-04,Wednesday,12,49,4,false,false,279
2019-12-05,Thursday,12,49,5,false,true,1490
2019-12-06,Friday,12,49,6,false,true,578
2019-12-07,Saturday,12,49,7,true,false,17
2019-12-08,Sunday,12,50,8,true,false,4
2019-12-09,Monday,12,50,9,false,true,397
2019-12-10,Tuesday,12,50,10,false,false,871
2019-12-11,Wednesday,12,50,11,false,true,620
2019-12-12,Thursday,12,50,12,false,false,1003
2019-12-13,Friday,12,50,13,false,true,626
2019-12-14,Saturday,12,50,14,true,false,3
2019-12-15,Sunday,12,51,15,true,false,5
2019-12-16,Monday,12,51,16,false,true,407
2019-12-17,Tuesday,12,51,17,false,false,1487
2019-12-18,Wednesday,12,51,18,false,false,282
2019-12-19,Thursday,12,51,19,false,false,1182
2019-12-20,Friday,12,51,20,false,false,618
2019-12-21,Saturday,12,51,21,true,true,39
2019-12-22,Sunday,12,52,22,true,false,3
2019-12-23,Monday,12,52,23,false,true,597
2019-12-24,Tuesday,12,52,24,false,false,1073
2019-12-25,Wednesday,12,52,25,false,true,670
2019-12-26,Thursday,12,52,26,false,false,1204
2019-12-27,Friday,12,52,27,false,true,543
2019-12-28,Saturday,12,52,28,true,false,2
2019-12-29,Sunday,12,53,29,true,false,4
2019-12-30,Monday,12,53,30,false,false,255
2019-12-31,Tuesday,12,53,31,false,false,1345
2020-01-01,Wednesday,1,1,1,false,true,616
2020-01-02,Thursday,1,1,2,false,false,1657
2020-01-03,Friday,1,1,3,false,true,379
2020-01-04,Saturday,1,1,4,true,true,49
2020-01-05,Sunday,1,2,5,true,true,4
2020-01-06,Monday,1,2,6,false,false,274
2020-01-07,Tuesday,1,2,7,false,true,1532
2020-01-08,Wednesday,1,2,8,false,false,561
2020-01-09,Thursday,1,2,9,false,true,1322
2020-01-10,Friday,1,2,10,false,true,402
2020-01-11,Saturday,1,2,11,true,true,22
2020-01-12,Sunday,1,3,12,true,false,4
2020-01-13,Monday,1,3,13,false,true,496
2020-01-14,Tuesday,1,3,14,false,true,1454
2020-01-15,Wednesday,1,3,15,false,true,618
2020-01-16,Thursday,1,3,16,false,true,1279
2020-01-17,Friday,1,3,17,false,true,599
2020-01-18,Saturday,1,3,18,true,false,23
2020-01-19,Sunday,1,4,19,true,false,4
2020-01-20,Monday,1,4,20,false,false,475
2020-01-21,Tuesday,1,4,21,false,false,1451
2020-01-22,Wednesday,1,4,22,false,true,396
2020-01-23,Thursday,1,4,23,false,false,1068
2020-01-24,Friday,1,4,24,false,true,694
2020-01-25,Saturday,1,4,25,true,false,44
2020-01-26,Sunday,1,5,26,true,false,5
2020-01-27,Monday,1,5,27,false,true,592
2020-01-28,Tuesday,1,5,28,false,true,1052
2020-01-29,Wednesday,1,5,29,false,true,438
2020-01-30,Thursday,1,5,30,false,false,1644
2020-01-31,Friday,1,5,31,false,true,488
2020-02-01,Saturday,2,5,1,true,false,31
2020-02-02,Sunday,2,6,2,true,false,5
2020-02-03,Monday,2,6,3,false,false,398
2020-02-04,Tuesday,2,6,4,false,true,1343
2020-02-05,Wednesday,2,6,5,false,true,653
2020-02-06,Thursday,2,6,6,false,false,1698
2020-02-07,Friday,2,6,7,false,true,490
2020-02-08,Saturday,2,6,8,true,false,4
2020-02-09,Sunday,2,7,9,true,false,5
2020-02-10,Monday,2,7,10,false,false,646
2020-02-11,Tuesday,2,7,11,false,false,914
2020-02-12,Wednesday,2,7,12,false,false,455
2020-02-13,Thursday,2,7,13,false,true,1480
2020-02-14,Friday,2,7,14,false,false,622
2020-02-15,Saturday,2,7,15,true,false,17
2020-02-16,Sunday,2,8,16,true,false,5
2020-02-17,Monday,2,8,17,false,false,331
2020-02-18,Tuesday,2,8,18,false,true,909
2020-02-19,Wednesday,2,8,19,false,true,528
2020-02-20,Thursday,2,8,20,false,true,1000
2020-02-21,Friday,2,8,21,false,true,383
2020-02-22,Saturday,2,8,22,true,false,34
2020-02-23,Sunday,2,9,23,true,false,5
2020-02-24,Monday,2,9,24,false,false,551
2020-02-25,Tuesday,2,9,25,false,false,1644
2020-02-26,Wednesday,2,9,26,false,false,267
2020-02-27,Thursday,2,9,27,false,true,1540
2020-02-28,Friday,2,9,28,false,false,680
2020-02-29,Saturday,2,9,29,true,false,4
2020-03-01,Sunday,3,10,1,false,false,0
2020-03-02,Monday,3,10,2,false,false,0
2020-03-03,Tuesday,3,10,3,false,false,0
2020-03-04,Wednesday,3,10,4,false,false,0
2020-03-05,Thursday,3,10,5,false,false,0
2020-03-06,Friday,3,10,6,false,false,0
2020-03-07,Saturday,3,10,7,false,false,0
2020-03-08,Sunday,3,11,8,false,false,0
2020-03-09,Monday,3,11,9,false,false,0
2020-03-10,Tuesday,3,11,10,false,false,0
2020-03-11,Wednesday,3,11,11,false,false,0
2020-03-12,Thursday,3,11,12,false,false,0
2020-03-13,Friday,3,11,13,false,false,0
2020-03-14,Saturday,3,11,14,false,false,0
2020-03-15,Sunday,3,12,15,false,false,0
2020-03-16,Monday,3,12,16,false,false,0
2020-03-17,Tuesday,3,12,17,false,false,0
2020-03-18,Wednesday,3,12,18,false,false,0
2020-03-19,Thursday,3,12,19,false,false,0
2020-03-20,Friday,3,12,20,false,false,0
2020-03-21,Saturday,3,12,21,false,false,0
2020-03-22,Sunday,3,13,22,false,false,0
2020-03-23,Monday,3,13,23,false,false,0
2020-03-24,Tuesday,3,13,24,false,false,0
2020-03-25,Wednesday,3,13,25,false,false,0
2020-03-26,Thursday,3,13,26,false,false,0
2020-03-27,Friday,3,13,27,false,false,0
2020-03-28,Saturday,3,13,28,false,false,0
2020-03-29,Sunday,3,14,29,false,false,0
2020-03-30,Monday,3,14,30,false,false,0
2020-03-31,Tuesday,3,14,31,false,false,0
2020-04-01,Wednesday,4,14,1,false,false,0
2020-04-02,Thursday,4,14,2,false,false,0
2020-04-03,Friday,4,14,3,false,false,0
2020-04-04,Saturday,4,14,4,false,false,0
2020-04-05,Sunday,4,15,5,false,false,0
2020-04-06,Monday,4,15,6,false,false,0
2020-04-07,Tuesday,4,15,7,false,false,0
2020-04-08,Wednesday,4,15,8,false,false,0
2020-04-09,Thursday,4,15,9,false,false,0
2020-04-10,Friday,4,15,10,false,false,0
2020-04-11,Saturday,4,15,11,false,false,0
2020-04-12,Sunday,4,16,12,false,false,0
2020-04-13,Monday,4,16,13,false,false,0
2020-04-14,Tuesday,4,16,14,false,false,0
2020-04-15,Wednesday,4,16,15,false,false,0
2020-04-16,Thursday,4,16,16,false,false,0
2020-04-17,Friday,4,16,17,false,false,0
2020-04-18,Saturday,4,16,18,false,false,0
2020-04-19,Sunday,4,17,19,false,false,0
2020-04-20,Monday,4,17,20,false,false,0
2020-04-21,Tuesday,4,17,21,false,false,0
2020-04-22,Wednesday,4,17,22,false,false,0
2020-04-23,Thursday,4,17,23,false,false,0
2020-04-24,Friday,4,17,24,false,false,0
2020-04-25,Saturday,4,17,25,false,false,0
2020-04-26,Sunday,4,18,26,false,false,0
2020-04-27,Monday,4,18,27,false,false,0
2020-04-28,Tuesday,4,18,28,false,false,0
2020-04-29,Wednesday,4,18,29,false,false,0
2020-04-30,Thursday,4,18,30,false,false,0
2020-05-01,Friday,5,18,1,false,false,0
2020-05-02,Saturday,5,18,2,false,false,0
2020-05-03,Sunday,5,19,3,false,false,0
2020-05-04,Monday,5,19,4,false,false,0
2020-05-05,Tuesday,5,19,5,false,false,0
2020-05-06,Wednesday,5,19,6,false,false,0
2020-05-07,Thursday,5,19,7,false,false,0
2020-05-08,Friday,5,19,8,false,false,0
2020-05-09,Saturday,5,19,9,false,false,0
2020-05-10,Sunday,5,20,10,false,false,0
2020-05-11,Monday,5,20,11,false,false,0
2020-05-12,Tuesday,5,20,12,false,false,0
2020-05-13,Wednesday,5,20,13,false,false,0
2020-05-14,Thursday,5,20,14,false,false,0
2020-05-15,Friday,5,20,15,false,false,0
2020-05-16,Saturday,5,20,16,false,false,0
2020-05-17,Sunday,5,21,17,false,false,0
2020-05-18,Monday,5,21,18,false,false,0
2020-05-19,Tuesday,5,21,19,false,false,0
2020-05-20,Wednesday,5,21,20,false,false,0
2020-05-21,Thursday,5,21,21,false,false,0
2020-05-22,Friday,5,21,22,false,false,0
2020-05-23,Saturday,5,21,23,false,false,0
2020-05-24,Sunday,5,22,24,false,false,0
2020-05-25,Monday,5,22,25,false,false,0
2020-05-26,Tuesday,5,22,26,false,false,0
2020-05-27,Wednesday,5,22,27,false,false,0
2020-05-28,Thursday,5,22,28,false,false,0
2020-05-29,Friday,5,22,29,false,false,0
2020-05-30,Saturday,5,22,30,false,false,0
2020-05-31,Sunday,5,23,31,false,false,0
2020-06-01,Monday,6,23,1,false,false,0
2020-06-02,Tuesday,6,23,2,false,false,0
2020-06-03,Wednesday,6,23,3,false,false,0
2020-06-04,Thursday,6,23,4,false,false,0
2020-06-05,Friday,6,23,5,false,false,0
2020-06-06,Saturday,6,23,6,false,false,0
2020-06-07,Sunday,6,24,7,false,false,0
2020-06-08,Monday,6,24,8,false,false,0
